fold,split_role,building_id,grid_id,population,area_total,use_main_code,floors_above,floors_below,height_m,approved_year,use_main_code_int,land_use_residential,land_use_commercial,land_use_industrial,business_density_50m,factory_within_100m,target_population
4,fold_4_train,1990174632024367019800000000,다사304372,278.0,370.92,01000,3,1,0.0,1990,1000,1,0,0,20,0,11.182390091248891
4,fold_4_train,1990174632914397514100000000,다사304403,614.0,329.62,02000,3,1,0.0,1990,2000,1,0,0,10,0,21.68577029464694
4,fold_4_train,1990174634204368478000000000,다사304374,48.0,324.12,02000,3,1,0.0,1990,2000,1,0,0,0,0,8.974941252109573
4,fold_4_train,1990174637814367482500000000,다사304373,293.0,412.35,01000,3,1,0.0,1990,1000,1,0,0,3,0,11.976939999836432
4,fold_4_train,1990174639084396339300000000,다사304402,1216.0,326.88,02000,3,1,0.0,1990,2000,1,0,0,8,0,32.74026056394294
4,fold_4_train,1990174642344367986400000000,다사304373,293.0,328.76,02000,3,1,0.0,1990,2000,1,0,0,2,0,9.549020963613982
4,fold_4_train,1990174653074401781100000000,다사305407,99.0,739.675,04000,4,1,0.0,1990,4000,0,1,0,59,0,1.7203156566412958
4,fold_4_train,1990174653674368652200000000,다사304374,48.0,329.92,02000,3,1,0.0,1990,2000,1,0,0,1,0,9.1355442980871
4,fold_4_train,1990174654464368315500000000,다사304374,48.0,329.91,02000,3,1,0.0,1990,2000,1,0,0,3,0,9.13526739628369
4,fold_4_train,1990174655364368190400000000,다사305374,157.0,327.96,02000,3,1,0.0,1990,2000,1,0,0,2,0,9.310250272424396
4,fold_4_train,1990174658174399200800000000,다사305405,330.0,252.89,02000,2,1,0.0,1990,2000,1,0,0,18,0,7.2946739746531595
4,fold_4_train,1990174662484328509900000000,다사304334,8.0,491.7,17000,1,0,4.51,1990,17000,0,0,1,0,1,0.7827343168585563
4,fold_4_train,1990174665064399381100000000,다사305405,330.0,256.08,02000,2,1,0.0,1990,2000,1,0,0,24,0,7.386690305781885
